runid,vallos,valacc
1,0.0,1.0
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
11,0.0,1.0
12,0.0,1.0
13,0.0,1.0
14,0.0,1.0
15,0.0,1.0
16,0.0,1.0
17,0.0,1.0
18,0.0,1.0
19,0.0,1.0
20,0.0,1.0
21,0.0,1.0
22,0.0,1.0
23,0.0,1.0
24,0.0,1.0
25,0.0,1.0
26,0.0,1.0
27,0.0,1.0
28,0.0,1.0
29,0.0,1.0
30,0.0,1.0
31,0.0,1.0
32,0.0,1.0
33,0.0,1.0
34,0.0,1.0
35,0.0,1.0
36,0.0,1.0
37,0.0,0.948
38,0.0,0.948
39,0.0,0.92
40,0.0,0.92
41,0.0,0.862
42,0.0,0.862
43,0.0,0.802
44,0.0,0.802
45,0.0,0.762
46,0.0,0.762
47,0.0,0.74
48,0.0,0.74
49,0.0,0.706
50,0.0,0.706
51,0.0,0.7
52,0.0,0.7
53,0.0,0.652
54,0.0,0.652
55,0.0,0.656
56,0.0,0.656
57,0.0,0.628
58,0.0,0.628
59,0.0,0.572
60,0.0,0.572
61,0.0,0.618
62,0.0,0.618
63,0.0,0.56
64,0.0,0.56
65,0.0,0.528
66,0.0,0.528
67,0.0,0.542
68,0.0,0.542
69,0.0,0.454
70,0.0,0.454
71,0.0,0.49
72,0.0,0.49
73,0.0,0.488
74,0.0,0.488
75,0.0,0.54
76,0.0,0.54
77,0.0,0.498
78,0.0,0.498
79,0.0,0.49
80,0.0,0.49
81,0.0,0.526
82,0.0,0.526
83,0.0,0.538
84,0.0,0.538
85,0.0,0.5
86,0.0,0.5
87,0.0,0.512
88,0.0,0.512
89,0.0,0.504
90,0.0,0.504
91,0.0,0.482
92,0.0,0.482
93,0.0,0.488
94,0.0,0.488
95,0.0,0.498
96,0.0,0.498
97,0.0,0.522
98,0.0,0.522
99,0.0,0.538
100,0.0,0.538
101,0.0,0.47
102,0.0,0.47
103,0.0,0.532
104,0.0,0.532
105,0.0,0.512
106,0.0,0.512
107,0.0,0.534
108,0.0,0.534
109,0.0,0.498
110,0.0,0.498
111,0.0,0.478
112,0.0,0.478
113,0.0,0.512
114,0.0,0.512
115,0.0,0.484
116,0.0,0.484
117,0.0,0.46
118,0.0,0.46
119,0.0,0.502
120,0.0,0.502
121,0.0,0.526
122,0.0,0.526
123,0.0,0.482
124,0.0,0.482
125,0.0,0.486
126,0.0,0.486
127,0.0,0.514
128,0.0,0.514
129,0.0,0.53
130,0.0,0.53
131,0.0,0.5
132,0.0,0.5
133,0.0,0.474
134,0.0,0.474
135,0.0,0.536
136,0.0,0.536
137,0.0,0.482
138,0.0,0.482
139,0.0,0.55
140,0.0,0.55
141,0.0,0.504
142,0.0,0.504
143,0.0,0.51
144,0.0,0.51
145,0.0,0.486
146,0.0,0.486
147,0.0,0.504
148,0.0,0.504
149,0.0,0.484
150,0.0,0.484
151,0.0,0.512
152,0.0,0.512
153,0.0,0.496
154,0.0,0.496
155,0.0,0.502
156,0.0,0.502
157,0.0,0.548
158,0.0,0.548
159,0.0,0.54
160,0.0,0.54
161,0.0,0.462
162,0.0,0.462
163,0.0,0.478
164,0.0,0.478
165,0.0,0.546
166,0.0,0.546
167,0.0,0.5
168,0.0,0.5
169,0.0,0.49
170,0.0,0.49
171,0.0,0.524
172,0.0,0.524
173,0.0,0.478
174,0.0,0.478
175,0.0,0.546
176,0.0,0.546
177,0.0,0.506
178,0.0,0.506
179,0.0,0.512
180,0.0,0.512
181,0.0,0.51
182,0.0,0.51
183,0.0,0.466
184,0.0,0.466
185,0.0,0.524
186,0.0,0.524
187,0.0,0.532
188,0.0,0.532
189,0.0,0.476
190,0.0,0.476
191,0.0,0.5
192,0.0,0.5
193,0.0,0.536
194,0.0,0.536
195,0.0,0.51
196,0.0,0.51
197,0.0,0.47
198,0.0,0.47
